,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
0,2021-01-04,105.6464729093652,105.74112828101146,102.80676842952577,103.573486328125,23000,0.0,0.0,0.0
1,2021-01-05,103.47881975247996,104.75668518570053,103.47881975247996,104.53897857666016,26000,0.0,0.0,0.0
2,2021-01-06,104.55792356937498,107.29350511747295,104.55792356937498,106.5362548828125,15400,0.0,0.0,0.0
3,2021-01-07,107.41655690689866,108.11701531625,107.27457023996128,107.95610046386719,46700,0.0,0.0,0.0
4,2021-01-08,108.26846933295026,108.514579089804,107.13259036888157,108.21167755126953,191800,0.0,0.0,0.0
5,2021-01-11,107.26510612845384,108.36312868634872,107.26510612845384,108.088623046875,37300,0.0,0.0,0.0
6,2021-01-12,108.31577633294174,108.98783874511719,108.31577633294174,108.98783874511719,13700,0.0,0.0,0.0
7,2021-01-13,108.85533800758495,108.96892878620257,108.49564470790871,108.53350830078125,35200,0.0,0.0,0.0
8,2021-01-14,108.67547792145938,109.31914449861439,108.6186861481561,108.7322769165039,566800,0.0,0.0,0.0
9,2021-01-15,108.24005525172474,108.24005525172474,106.96218982646477,107.8330307006836,222000,0.0,0.0,0.0
10,2021-01-19,108.49565012165546,108.6376295748346,108.22114447593863,108.46724700927734,123600,0.0,0.0,0.0
11,2021-01-20,108.82692647775161,109.48006072288604,108.79853059261376,109.35700225830078,845300,0.0,0.0,0.0
12,2021-01-21,109.3570164830305,109.46113955657385,108.65655807880042,108.76068115234375,330300,0.0,0.0,0.0
13,2021-01-22,108.03181713099549,108.59976378141513,107.88036998682747,108.39151763916016,115600,0.0,0.0,0.0
14,2021-01-25,108.37259350512291,108.7512222375392,107.07579966540577,108.24954223632812,29500,0.0,0.0,0.0
15,2021-01-26,108.45777275456301,108.77014195537602,107.3976139010801,107.4070816040039,39800,0.0,0.0,0.0
16,2021-01-27,105.98723019502894,106.10081374391686,104.33073603749378,104.68096160888672,49200,0.0,0.0,0.0
17,2021-01-28,105.52342796372562,106.8296895028013,105.52342796372562,106.01564025878906,46200,0.0,0.0,0.0
18,2021-01-29,105.75059705736238,105.91151191296743,103.65868226927073,104.16036224365234,59300,0.0,0.0,0.0
19,2021-02-01,105.13532506264913,105.99670555321312,104.54845020462503,105.77899169921875,75800,0.0,0.0,0.0
20,2021-02-02,106.9905839219771,107.84249659847349,106.95272033393937,107.48280334472656,43000,0.0,0.0,0.0
21,2021-02-03,107.50174421461269,107.87090521437055,107.00953195551615,107.67212677001953,35900,0.0,0.0,0.0
22,2021-02-04,108.1643436193173,108.98786054235518,108.1643436193173,108.94999694824219,28800,0.0,0.0,0.0
23,2021-02-05,109.66937619072169,109.90601820611307,109.4422018780335,109.80189514160156,37600,0.0,0.0,0.0
24,2021-02-08,110.44558526075312,110.94726528486889,110.1426837053393,110.92833709716797,470000,0.0,0.0,0.0
25,2021-02-09,110.79579887974342,111.34480288865524,110.67274040495543,111.06083679199219,127600,0.0,0.0,0.0
26,2021-02-10,111.8181022630262,111.91276486329569,110.69169098159237,111.33535766601562,116700,0.0,0.0,0.0
27,2021-02-11,111.85597309275677,111.89383669096479,110.70115862351223,111.60040283203125,206200,0.0,0.0,0.0
28,2021-02-12,111.25961953063045,112.37657021956431,111.25961953063045,112.31977844238281,122000,0.0,0.0,0.0
29,2021-02-16,112.91611119124465,112.91611119124465,112.01686714985529,112.23458099365234,28500,0.0,0.0,0.0
30,2021-02-17,111.67612487043965,112.02635049963783,111.02299046956779,111.96955871582031,32200,0.0,0.0,0.0
31,2021-02-18,111.20284485286692,111.64772587876661,110.63489810675301,111.28803253173828,54800,0.0,0.0,0.0
32,2021-02-19,111.80863078252409,112.58481636488547,111.80863078252409,112.31977844238281,16800,0.0,0.0,0.0
33,2021-02-22,111.64770874312124,112.36710254850848,111.49626159667969,111.49626159667969,35300,0.0,0.0,0.0
34,2021-02-23,110.7957992204154,111.90328216646365,109.59365368678024,111.62877655029297,50600,0.0,0.0,0.0
35,2021-02-24,111.34480282472511,113.21901083728764,111.34480282472511,113.00129699707031,493900,0.0,0.0,0.0
36,2021-02-25,113.03914835525605,113.13380371051306,109.64097271586658,110.0763931274414,67200,0.0,0.0,0.0
37,2021-02-26,110.44557596307533,110.80526927305445,108.88373701562062,109.76404571533203,59400,0.0,0.0,0.0
38,2021-03-01,111.75183283833383,112.82145946362567,111.61931387583175,112.36710357666016,54100,0.0,0.0,0.0
39,2021-03-02,112.38603977962858,112.39550026148727,111.54358748098244,111.5625228881836,47500,0.0,0.0,0.0
40,2021-03-03,111.59090967035078,111.59090967035078,110.12372626689864,110.13319396972656,129000,0.0,0.0,0.0
41,2021-03-04,110.24679769553727,110.36984895979705,106.5551803285802,108.10755157470703,148300,0.0,0.0,0.0
42,2021-03-05,108.84586442670116,110.55915760839858,106.3279970214382,110.25625610351562,143300,0.0,0.0,0.0
43,2021-03-08,110.3509227212293,111.9790211841311,110.32252683064834,110.38878631591797,148600,0.0,0.0,0.0
44,2021-03-09,111.50574057734843,112.18726363787447,111.19337132768494,111.35428619384766,23500,0.0,0.0,0.0
45,2021-03-10,112.20618981603337,112.84985644947541,112.15885851964747,112.40496826171875,23900,0.0,0.0,0.0
46,2021-03-11,113.25687299655264,114.17504519595637,113.25687299655264,113.76802062988281,33800,0.0,0.0,0.0
47,2021-03-12,113.36101187834883,114.36437187907829,113.34207646980165,114.35490417480469,54700,0.0,0.0,0.0
