,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
0,2021-01-04,107.4705685109213,107.48944689681764,104.85647366385845,106.59291076660156,12911800,0.0,0.0,0.0
1,2021-01-05,106.40417892268546,107.73482443882496,105.95119122357546,107.36676788330078,11081900,0.0,0.0,0.0
2,2021-01-06,105.86624669077968,109.12206971637644,105.86624669077968,108.83895874023438,17833700,0.0,0.0,0.0
3,2021-01-07,108.98052204779381,110.41496976910422,108.81065257553387,110.2545394897461,12407100,0.0,0.0,0.0
4,2021-01-08,110.45272026514874,111.27375725460922,109.73549279849342,110.78302001953125,9350600,0.0,0.0,0.0
5,2021-01-11,110.81133336944065,111.48137208915088,110.66977427091149,111.30207061767578,6428200,0.0,0.0,0.0
6,2021-01-12,111.08501552879996,111.20769624434624,109.59393975526021,110.0941162109375,9225500,0.0,0.0,0.0
7,2021-01-13,110.03747795629937,110.77357658070775,109.63167907361343,110.3960952758789,5259600,0.0,0.0,0.0
8,2021-01-14,110.57540038054321,110.9906384695356,109.91480087532318,110.04692077636719,5792300,0.0,0.0,0.0
9,2021-01-15,109.7449369921988,110.6414659663739,109.31082769523017,110.38666534423828,10335200,0.0,0.0,0.0
10,2021-01-19,111.26432896728863,111.57575756622904,110.63203977549716,111.2171401977539,6194500,0.0,0.0,0.0
11,2021-01-20,111.40588104841791,112.00985982038773,110.73583512326884,111.83055114746094,6872000,0.0,0.0,0.0
12,2021-01-21,111.68899114032767,111.80223985914998,110.92458208826295,111.30207061767578,5796200,0.0,0.0,0.0
13,2021-01-22,110.97176361083984,111.59462076412551,110.83021171236113,110.97176361083984,4796400,0.0,0.0,0.0
14,2021-01-25,111.03783338057643,111.76449287654196,110.81133593768237,111.69843292236328,6962000,0.0,0.0,0.0
15,2021-01-26,112.01927882983564,112.29295780416224,111.22655948350541,111.2831802368164,5504000,0.0,0.0,0.0
16,2021-01-27,110.05636074837759,110.05636074837759,107.63100654776568,107.90467834472656,13096900,0.0,0.0,0.0
17,2021-01-28,108.82007572351048,110.85850922494528,108.61245669651316,109.48068237304688,12626100,0.0,0.0,0.0
18,2021-01-29,109.32027925940038,110.09413485774543,107.67821211168392,108.55587005615234,10462400,0.0,0.0,0.0
19,2021-02-01,109.44293578499659,109.80154589594375,108.80120750225302,108.97107696533203,10105300,0.0,0.0,0.0
20,2021-02-02,109.82985962562054,110.36777840845804,109.25419127205828,109.28250885009766,11515700,0.0,0.0,0.0
21,2021-02-03,109.28250755348282,109.33912830890094,108.16892043029554,108.50865936279297,11280300,0.0,0.0,0.0
22,2021-02-04,108.5086589626337,109.40518785342137,108.27272954926913,108.96163940429688,8451500,0.0,0.0,0.0
23,2021-02-05,109.70717853020936,109.87704799786881,108.89558076250245,109.15982055664062,5557000,0.0,0.0,0.0
24,2021-02-08,109.54677716805463,109.69776829027305,108.97110866460461,109.2919692993164,6956700,0.0,0.0,0.0
25,2021-02-09,109.28252308772974,109.55619491114871,109.17871355471068,109.452392578125,4730300,0.0,0.0,0.0
26,2021-02-10,110.24512102455805,110.27343140859172,109.2636535780807,109.65058135986328,5406400,0.0,0.0,0.0
27,2021-02-11,110.0374862878244,110.1318566211769,109.33913718102204,109.85818481445312,4684000,0.0,0.0,0.0
28,2021-02-12,109.64113396998157,110.80191002857033,109.49957486039824,110.6792221069336,6345300,0.0,0.0,0.0
29,2021-02-16,110.82078650194967,110.92459604059546,109.22590104456965,109.58451843261719,9531900,0.0,0.0,0.0
30,2021-02-17,109.22588083502262,110.03747860518044,109.10320013022924,109.9808578491211,5022200,0.0,0.0,0.0
31,2021-02-18,109.44296762153111,109.73551787082673,108.83898873266489,109.2919692993164,7756600,0.0,0.0,0.0
32,2021-02-19,109.37689403125107,109.46182517692034,107.87637899113534,107.97075653076172,9390800,0.0,0.0,0.0
33,2021-02-22,107.45170256732906,108.0462421521668,106.75335345498071,107.7159423828125,7213300,0.0,0.0,0.0
34,2021-02-23,107.64043824584306,108.30104495392408,107.03645949559417,107.53662872314453,8731500,0.0,0.0,0.0
35,2021-02-24,107.6593231826426,108.86728075664219,107.31958421495582,108.28217315673828,9842000,0.0,0.0,0.0
36,2021-02-25,108.131169810571,108.56527906455024,106.64953339155699,107.19688415527344,14494800,0.0,0.0,0.0
37,2021-02-26,107.57437676185938,107.57437676185938,105.99836995789016,106.27204895019531,14687000,0.0,0.0,0.0
38,2021-03-01,107.14027699386533,108.15949391077929,107.11196661283913,107.6593246459961,7361800,0.0,0.0,0.0
39,2021-03-02,107.8858039165847,108.14060451988908,107.24407561197263,107.34788513183594,8456100,0.0,0.0,0.0
40,2021-03-03,106.95154120615946,107.06478273543738,105.74358356055842,105.98894500732422,14946600,0.0,0.0,0.0
41,2021-03-04,105.75300584499352,106.45136214473365,103.7428896849182,104.56392669677734,23441700,0.0,0.0,0.0
42,2021-03-05,105.17733715939923,106.99871264951689,104.32799697022095,106.65897369384766,15645200,0.0,0.0,0.0
43,2021-03-08,106.74392305799319,108.08400063265918,106.26262495441759,106.39474487304688,12691800,0.0,0.0,0.0
44,2021-03-09,107.17804659442707,108.71630425089496,106.97042749478182,107.01761627197266,11022300,0.0,0.0,0.0
45,2021-03-10,107.72538968259639,108.33880770041142,107.22522039422267,107.26296997070312,11641100,0.0,0.0,0.0
46,2021-03-11,107.63100492008527,108.50866265567191,107.48000663439552,107.91411590576172,6549400,0.0,0.0,0.0
47,2021-03-12,107.68762764386676,108.30104559069345,107.51775816936083,108.1500473022461,7452400,0.0,0.0,0.0
48,2021-03-15,107.95187397596602,108.92390211663684,107.82919325918067,108.89559173583984,7119100,0.0,0.0,0.0
